species,fire_response,post_fire_recovery,page
Melaleuca glaberrima,OSC,,186
Melaleuca globiferra,RS/OSC,,186
Melaleuca incana ssp. tenella,OSC,,186
Melaleuca pauperiflora,OSC,,186
Melaleuca pentagona,RS/OSC,,186
Melaleuca pulchella,RS,,186
Melaleuca subfalcata,,,187
Melaleuca scabra,RS/OSC,,187
Melaleuca societatis,OSC,,187
Melaleuca striata,RS,,187
Melaleuca suberosa,RS,,187
Melaleuca thapsina,OSC,,187
Melaleuca thymoides,RS,,187
Melaleuca tuberculata,,,187
Petrophile fastigiata,OSC?,,187
Petrophile phyllicoides,OSC,slow,187
Petrophile squamata,OSC,slow,187
Petrophile teretifolia,OSC,medium to slow,187
Phymatocarpus maxwellii,OSC,,187
Santalum acuminatum,OSS,slow,187
Stirlingia anaethifolia,OSS,rapid,187
Taxandria callistachys,RS,,187
Taxandria conspicua ssp. abrupta,RS?,,187
Taxandria spathulata,RS/OSC,,187
Xanthorrhoea playtphylla,RS,,187
Gahnia sp. L,RS?,,187
Eucalyptus occidentalis,RS ep / OSC,,187
Melaleuca cuticularis,RS ep,,187
Melaleuca incana ssp tenella,OSC,,187
Melaleuca thapsina,OSC,,187
Eucalyptus surgens,RS,,188
Eucalyptus spp,,,188
Acacia carnosula,,,188
Acacia glaucoptera,OSS,,188
Acacia gonophylla,OSS,,188
Acacia mutabilis ssp angustifolia,OSS,,188
Acacia mutabilis ssp. mutabilis,OSS,,188
Acacia myrtifolia,OSS,,188
Allocasuarina helmsii,,,188
Allocasuarina preissii,,,188
Allocasuarina scleroclada,RS,,188
Acacia oswaldii,,,188
Adeanthos cuneatus,RS,,188
Adenanthos dobsonii,,,188
Adenanthos eyri,OSS,,188
Adenanthos forrestii,RS,,188
Agonis baxteri,RS,,188
Banksia epica,OSC,,188
Banksia media,OSC,medium to slow,188
Banksia nutans,OSC,slow,188
Banksia obtusa,OSC,,188
Banksia obovata,OSC,medium to slow,188
Banksia pulchella,OSC,slow,188
Banksia petiolaris,OSC,medium,188
Banksia speciosa,OSC,medium to slow,188
Beaufortia empetrifolia,OSC,medium,188
Beaufortia micrantha,OSC,medium to slow,188
Beaufortia schaueri,OSC,,188
Bossiaea walkeri,,,188
Callitris preissii,OSC,slow,188
Callitris roei,OSC,slow,188
Calothamnus gracilis,RS,,188
Conospermum leianthumssp leianthum,,,188
Conospermum leianthum ssp orientale,,,188
Conospermum teretifolium,RS,,188
Conothamnus aureus,RS,,189
Chamelaucium axillare,?OSS,,189
Daviesia spp,,,189
Dodanaea spp,,,189
Gastrolobium muscaeum,,,189
Gastrolobium parviflorum,OSS,medium,189
Grevillea baxteri,,,189
Grevillea concinna,?OSS,,189
Grevillea oligantha,OSS/RS,,189
Grevillea pauciflora,OSS,,189
Grevillea plurijuga,OSS,,189
Grevillea tripartita ssp. macrostylis,OSS,,189
Hakea adnata,OSC?,,189
Hakea cinerea,OSC,,189
Hakea corymbosa,OSC,slow,189
Hakea nitida,RS,,189
Hakea obliqua,OSC,medium,189
Hakea pandanicarpa ssp. crassifolia,OSC,slow,189
Hakea varia,RS,,189
Isopogon polycephalus,RS,,189
Isopogon trilobus,OSC,medium to slow,189
Jacksonia capitata,,,189
Jacksonia condensata,,,189
Jacksonia venosa,,,189
Labichea lanceolata ssp. brevifolia,,,189
Lasiopetalum parvuliflorum,,,189
Leucopogon spp,,,189
Leucopogon breviflorus,,,189
Leucopogon conostephoides,OSS,medium,189
Leucopogon Kau Rock,,,189
Leucopogon woodsii,,,189
Lysinema ciliatum,OSS,medium,189
Melaleuca apodocephala,,,189
Melaleuca brevifolia,,,189
Melaleuca cucullata,OSC?,,189
Melaleuca glaberrima,OSC,,189
Melaleuca lecanantha,,,189
Melaleuca pentagona ssp. latifolia,,,189
Melaleuca pulchella,RS,,189
Melaleuca scabra,RS,,189
Melaleuca striata,RS,,189
Melaleuca strobophylla,,,189
Melaleuca undulata,OSC,,190
Melaleuca viminea,OSC,medium,190
Petrophile teretifolia,RS/OSC,,190
Phymatocarpus maxwellii,OSC,,190
Senna artesmoides,,,190
Stirlingia anethifolia,OSC,rapid,190
Styphelia hainsii,,,190
Styphelia pulchella,,,190
Taxandria spathulata,RS/OSC,,190
Verticordia spp,,,190
E. forrestiana,OSC,,191
E. dolichoryncha,OSC,,191
E. dundasii,OSC,,191
Eucalyptus goniocarpa,OSC,,191
E. kumarlensis,OSC,,191
E salmonophloia,OSC,,191
E. spreta,OSC,,191
E. urna,OSC,,191
E. valens,OSC,,191
E. salmonophloia,OSC,,191
E. occidentalis,RSep/OSC,,191
Eucalytpus oleosa,RSep,,191
Eucalyptus cooperiana,RS,,191
Eucalyptus leptocalyx,RS,,191
Eucalyptus occidentalis,RS/OSC,,191
Eucalyptus uncinata,RS,,191
Adenanthos ileticos,,,191
Allocasuarina huegeliana,OSC,,191
Allocasuarina scleroclada,RS,,191
Allocasuarina spinosissima,?,,191
Banksia media,OSC,slow,191
Banksia pilostylis,OSC,medium to slow,191
Banksia tenuis,OSC,,191
Beaufortia schaueri,OSC,,191
Callitris canescens,OSC,,191
Callitris preissii,OSC,slow,191
Callitris roei,OSC,slow,191
Calothamnus quadrifidus,RS,,191
Choretrum glomeratum,,,191
Cratystylis conocephala,OSS?,,192
Exocarpus sparteus,OSS,,192
Hakea cinerea,,,192
Hakea laurina,OSC,medium,192
Hakea lissocarpha,RS,,192
Hakea multilineata,OSC,medium to slow,192
Hakea nitida,RS,,192
Hakea francisiana,?OSC,slow,192
Grevillea acuaria,OSS,,192
Grevillea pauciflora,OSS,,192
Grevilliea plurijuga,RS/OSS,,192
Grevillea huegellii,RS/OSS,,192
Leptospermum erubescens,RS,,192
Melaleuca acuminata,RS,,192
Melaleuca calycina,RS,,192
Melaleuca cucullata,OSC,,192
Melaleuca hamata,RS,,192
Melaleuca eleuterostachya,,,192
Melaleuca laxiflora,,,192
Melaleuca pauperiflora ssp. fastigiata,OSC,,192
Melleuca pulchella,RS,,192
Melaleuca sheathiana,OSC?,,192
Melaleuca subalaris,,,192
Melaleuca undulata,OSC,,192
Petrophile squamata,OSC,slow,192
Phymatocarpus maxwellii,OSC,,192
Santalum acuminatum,OSS,slow,192
Santalum murrayanum,OSS?,,192
Styphelia hainsii,,,192
Templetonia retusa,OSS,,192
Trymalium myrtillus ssp. myrtillus,,,192
Thryptomene australis ssp. brachyandra,,,192
Westringia spp,,,192
Eucalyptus conferruminata,OSC,slow,193
Eucalyptus utilis,OSC,slow,193
Acacia conniana,OSS,,193
Allocasuarina trichodon,OSC,,193
Callitris preissii,OSC,slow,193
Callitris drummondii,OSC,,193
Paraserianthes lophantha,OSS,rapid,193
Eucalyptus angulosa,RS,,193
Eucalyptus cuspidata,RS,,193
Eucalyptus cornuta,RS ep,,193
Acacia cyclops,OSS,rapid,193
Acacia heteroclita spp heteroclita,OSS,,193
Acacia myrtifolia,OSS,rapid,193
Acacia rostellifera,OSS,rapid to medium,193
Alogyne hakeifolia,OSS,rapid,193
Alyxia buxifolia,,,193
Anthocercis genistoides,OSS,rapid,193
Anthocercis littorea,,,193
Anthocercis viscosa ssp. caudata,,,193
Astartea fascicularis,RS,,193
Bossiaea dentata,OSS,,193
Calytrix tetragona,,,193
Calothamnus quadrifidus,RS/OSC,,193
Chorilaena quercifolia,OSS,rapid,193
Dillwynia pungens,OSS,,193
Dodanaea ceratocarpa,RS,,193
Dodanaea viscosa,OSS,,193
Eucalyptus cornuta,RS ep,,193
Eucalyptus aff cornuta,RS,,193
Eutaxia myrtifolia,OSS,rapid,193
Gastrolobium bilobum,OSS,rapid,193
Hakea clavata,OSC,,193
Hakea drupacea,OSC,slow,193
Hibbertia racemosa,OSS,rapid,193
Kunzea baxteri,OSS,,194
Leucopogon apiculatus,,,194
Leucopogon interruptus,OSS,,194
Leucopogon parviflorus,RS,,194
Leucopogon obovatus,OSS,,194
Leucopogon rotundifolius,,,194
Melaleuca elliptica,RS/OSC,medium,194
Melaleuca globifera,RS/OSC,slow,194
Melaleuca lanceolata,OSC,slow,194
Melaleuca pentagona,OSC,,194
Melaleuca viminea ssp. demissa,?OSC,,194
Myoporum insulare,,,194
Myoporum tetrandum,OSC,,194
Phyllanthus calycinus,OSS,,194
Phyllantus scaber,OSS,,194
Pimelea clavata,OSS,,194
Pimelea argentea,OSS,,194
Pomaderris myrtilloides,,,194
Pultenaeae heteroclita,OSS,,194
Rhadinothamnus rudis,OSS,,194
Rulingia coryfolia,rapid,,194
Spyridium globulosum,OSS,rapid,194
Taxandria marginata,RS/OSC,,194
Templetonia retusa,OSS,medium,194
Trymalium odaritissimum,OSS,rapid,194
Thryptomene saxicola,OSC,,194
